Project Name,Test Function,Smell Type
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateLocation_Works_For_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordManyMissingAircraft_Throws_Exception_If_Writes_Not_Enabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_Connection_Does_Not_Create_File_If_Missing,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileName_Change_Closes_Connection_If_Changed,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
dioram@Elektronik,ParsingTests<>Odometry,MysteryGuest
augcog@ISAACS_Interface,SQLiteCacheTest<>InsertSameTileNoOverwrite,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertSystemEvents_Works_For_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Correctly_Updates_Record,MysteryGuest
willychang21@MapboxARGame,MapMatcherTest<>CoordinatesNull,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>AlternativesWithSteps,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>BaseStationDatabase_GetManyAircraftByCode_Returns_Empty_Collection_If_File_Not_Configured,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>Init_Sets_Default_Chunk_Size,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertAircraftLookup_Will_Not_Consider_Aircraft_Missing_If_They_Have_Registration,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraft_Raises_AircraftUpdated,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>Timestamps,MysteryGuest
icosa-gallery@open-brush,FbxExporterTest<>TestWriteEmptyFbxFile,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Returns_Empty_Collection_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_IsConnected_Indicates_State_Of_Connection,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabse_WriteSupportEnabled_Closes_Connection_If_Changed,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Does_Nothing_If_FileName_Is_Null,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>OverviewFull,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Default_Location_In_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateFlight_Does_Nothing_If_File_Does_Not_Exist,MysteryGuest
willychang21@MapboxARGame,FileSourceTest<>AccessTokenSet,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraftModeSCountry_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftById_Returns_Null_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_CreateDatabaseIfMissing_Writes_Correct_Info_Record_In_Different_Cultures,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertAircraft_Throws_If_Writes_Disabled,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_RecordMissingAircraft_Only_Updates_Time_On_Existing_Records_With_Values,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpdateAircraftModeSCountry_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftByCode_Returns_Null_If_File_Does_Not_Exist,MysteryGuest
